epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,1329.07,0.72602,0.3926,1.18363,0.99701,0.99968,0.995,0.74448,1.01502,0.45983,1.40723,0.000405338,0.000405338,0.000405338
133,1338.8,0.69537,0.38178,1.16968,0.99725,0.99848,0.995,0.74872,0.99587,0.44614,1.40087,0.000402982,0.000402982,0.000402982
134,1348.4,0.69651,0.38922,1.1551,0.9981,1,0.995,0.75203,0.98414,0.44511,1.38117,0.000400625,0.000400625,0.000400625
135,1357.82,0.70284,0.3925,1.1812,0.99694,0.99717,0.995,0.74763,1.00412,0.45585,1.40082,0.000398269,0.000398269,0.000398269
136,1367.36,0.6691,0.38758,1.14822,0.99702,0.99956,0.995,0.75049,0.97626,0.43461,1.37005,0.000395913,0.000395913,0.000395913
137,1376.99,0.68003,0.38474,1.1536,0.99528,0.9997,0.995,0.73972,1.01923,0.45136,1.40429,0.000393557,0.000393557,0.000393557
138,1386.58,0.71275,0.39481,1.17482,0.99613,1,0.995,0.73846,1.01832,0.4507,1.41595,0.000391201,0.000391201,0.000391201
139,1396.24,0.67373,0.38515,1.14126,0.9958,1,0.995,0.73058,1.03975,0.45375,1.42501,0.000388844,0.000388844,0.000388844
140,1405.79,0.69087,0.38131,1.16297,0.99635,1,0.995,0.73303,1.01941,0.43845,1.41326,0.000386488,0.000386488,0.000386488
141,1415.44,0.68036,0.385,1.15991,0.99695,0.99914,0.995,0.7364,1.02055,0.45913,1.40639,0.000384132,0.000384132,0.000384132
142,1425,0.68426,0.38009,1.15538,0.99239,0.99853,0.99492,0.737,1.0126,0.44322,1.4031,0.000381776,0.000381776,0.000381776
143,1434.63,0.66889,0.38234,1.12564,0.99741,0.99759,0.995,0.72905,1.05261,0.45274,1.44025,0.00037942,0.00037942,0.00037942
144,1444.24,0.67902,0.38253,1.16016,0.99632,1,0.995,0.74237,1.00215,0.44222,1.40132,0.000377063,0.000377063,0.000377063
145,1453.71,0.67916,0.37869,1.14574,0.99605,1,0.995,0.75047,0.98543,0.45775,1.3856,0.000374707,0.000374707,0.000374707
146,1463.37,0.69109,0.38089,1.15984,0.99596,1,0.995,0.73671,1.02925,0.4573,1.4291,0.000372351,0.000372351,0.000372351
147,1473.1,0.67349,0.37873,1.13923,0.9964,1,0.995,0.74433,1.00657,0.43634,1.40377,0.000369995,0.000369995,0.000369995
148,1483.14,0.65873,0.3783,1.13155,0.99446,1,0.995,0.74082,1.01506,0.44371,1.407,0.000367639,0.000367639,0.000367639
149,1493.04,0.66828,0.36974,1.14434,0.99719,0.99857,0.995,0.72474,1.06567,0.45442,1.45447,0.000365282,0.000365282,0.000365282
150,1503.08,0.6818,0.37982,1.15489,0.99692,1,0.995,0.73996,1.0009,0.44427,1.41007,0.000362926,0.000362926,0.000362926
151,1513.07,0.67893,0.37387,1.14601,0.99554,1,0.995,0.74899,0.98973,0.4444,1.3924,0.00036057,0.00036057,0.00036057
152,1522.73,0.66959,0.37658,1.1528,0.99668,1,0.995,0.74279,1.04679,0.45144,1.43615,0.000358214,0.000358214,0.000358214
153,1532.72,0.64322,0.37267,1.13685,0.99639,0.99952,0.995,0.74462,1.01065,0.44237,1.40615,0.000355858,0.000355858,0.000355858
154,1542.74,0.65218,0.36794,1.12001,0.99651,0.9994,0.995,0.74277,1.02329,0.43901,1.41785,0.000353501,0.000353501,0.000353501
155,1552.74,0.62938,0.36075,1.10931,0.99291,1,0.995,0.74866,0.99489,0.43293,1.40026,0.000351145,0.000351145,0.000351145
156,1562.7,0.65754,0.36661,1.14683,0.9928,1,0.995,0.73358,1.01835,0.44075,1.43318,0.000348789,0.000348789,0.000348789
157,1572.68,0.655,0.36433,1.1275,0.99613,1,0.995,0.73971,1.02628,0.44116,1.42347,0.000346433,0.000346433,0.000346433
158,1582.58,0.64151,0.36453,1.11345,0.99775,1,0.995,0.73974,1.01812,0.4549,1.42458,0.000344077,0.000344077,0.000344077
159,1592.6,0.59864,0.36257,1.08711,0.99742,0.99852,0.995,0.74718,1.0147,0.43883,1.41002,0.00034172,0.00034172,0.00034172
160,1602.58,0.6425,0.3555,1.12505,0.99678,0.99921,0.995,0.73621,1.02979,0.43265,1.43674,0.000339364,0.000339364,0.000339364
161,1612.67,0.64211,0.36219,1.11915,0.99657,0.99924,0.995,0.7389,0.99769,0.4527,1.4002,0.000337008,0.000337008,0.000337008
162,1622.69,0.63714,0.35971,1.11797,0.9975,1,0.995,0.73911,1.01155,0.43331,1.40634,0.000334652,0.000334652,0.000334652
163,1632.48,0.62859,0.35984,1.11097,0.9972,0.99946,0.995,0.73881,1.03099,0.43794,1.43096,0.000332296,0.000332296,0.000332296
164,1642.23,0.64975,0.36571,1.12869,0.99769,1,0.995,0.75349,0.99782,0.43726,1.40237,0.000329939,0.000329939,0.000329939
