epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,646.206,0.86053,0.57605,1.31074,0.99675,0.99359,0.99494,0.69214,1.12477,0.57838,1.49069,0.000616453,0.000616453,0.000616453
71,655.027,0.91563,0.57286,1.33999,0.98621,0.99168,0.99457,0.72817,1.01238,0.5832,1.41837,0.00061504,0.00061504,0.00061504
72,663.677,0.91279,0.54481,1.32868,0.9973,0.99035,0.99442,0.68951,1.12259,0.59045,1.49772,0.000613626,0.000613626,0.000613626
73,672.293,0.87866,0.54557,1.32372,0.98743,0.98879,0.99433,0.72989,1.02961,0.58451,1.44099,0.000612212,0.000612212,0.000612212
74,680.973,0.90526,0.56013,1.32441,0.9926,0.99557,0.99494,0.73214,1.03397,0.57949,1.44169,0.000610798,0.000610798,0.000610798
75,690.103,0.881,0.55394,1.30126,0.98946,0.99094,0.99476,0.70692,1.06334,0.60209,1.45435,0.000609385,0.000609385,0.000609385
76,698.997,0.8666,0.55654,1.3089,0.99422,0.99918,0.995,0.71429,1.0524,0.5667,1.44564,0.000607971,0.000607971,0.000607971
77,707.865,0.8683,0.54417,1.30304,0.98825,0.99976,0.99457,0.65634,1.22498,0.60484,1.5759,0.000606557,0.000606557,0.000606557
78,716.817,0.83044,0.52742,1.27104,0.99598,0.99864,0.995,0.71988,1.05093,0.61886,1.45273,0.000605144,0.000605144,0.000605144
79,725.573,0.83108,0.53838,1.25701,0.98525,0.98769,0.99475,0.72387,1.04428,0.57763,1.43631,0.00060373,0.00060373,0.00060373
80,734.205,0.88449,0.565,1.31276,0.99001,0.99653,0.99458,0.71029,1.0772,0.59273,1.44,0.000602316,0.000602316,0.000602316
81,742.883,0.85006,0.5315,1.26682,0.99641,0.99877,0.995,0.67643,1.13835,0.59299,1.50268,0.000600902,0.000600902,0.000600902
82,751.485,0.87749,0.55712,1.31406,0.99213,0.99522,0.99464,0.69495,1.0888,0.56686,1.46134,0.000599489,0.000599489,0.000599489
83,760.552,0.86517,0.54329,1.31429,0.98974,0.99672,0.99469,0.72232,1.02406,0.55498,1.41639,0.000598075,0.000598075,0.000598075
84,769.369,0.85285,0.5385,1.27841,0.99671,0.99955,0.995,0.68503,1.09846,0.57361,1.47564,0.000596661,0.000596661,0.000596661
85,778.056,0.89357,0.52995,1.29158,0.97476,0.99244,0.99437,0.7166,1.02771,0.59756,1.43186,0.000595248,0.000595248,0.000595248
86,786.766,0.83851,0.52216,1.26775,0.98589,0.99546,0.99483,0.7031,1.10927,0.5739,1.48061,0.000593834,0.000593834,0.000593834
87,795.781,0.8392,0.51282,1.28489,0.99033,0.99284,0.99493,0.72443,1.02913,0.57358,1.42704,0.00059242,0.00059242,0.00059242
88,804.623,0.82687,0.50829,1.26428,0.99255,0.99888,0.99487,0.71543,1.06786,0.54001,1.44646,0.000591006,0.000591006,0.000591006
89,813.576,0.85737,0.52619,1.28117,0.97861,0.99061,0.9927,0.72686,0.99747,0.57358,1.40564,0.000589593,0.000589593,0.000589593
90,822.682,0.86882,0.52371,1.31429,0.98836,0.98111,0.99444,0.73731,1.02725,0.58467,1.41746,0.000588179,0.000588179,0.000588179
91,831.516,0.83324,0.51479,1.26447,0.98794,0.99896,0.995,0.72326,1.03312,0.54673,1.41006,0.000586765,0.000586765,0.000586765
92,840.378,0.86067,0.50141,1.28089,0.99243,0.99757,0.995,0.72962,1.05152,0.5567,1.42953,0.000585351,0.000585351,0.000585351
93,849.112,0.85215,0.51174,1.28508,0.99362,0.99978,0.99494,0.70883,1.09393,0.56632,1.46973,0.000583938,0.000583938,0.000583938
94,858.231,0.92144,0.53539,1.33789,0.99171,0.99834,0.99458,0.72598,1.00279,0.55072,1.41339,0.000582524,0.000582524,0.000582524
95,867.217,0.87985,0.60543,1.33397,0.99414,0.99896,0.995,0.71444,1.04389,0.53093,1.44152,0.00058111,0.00058111,0.00058111
96,876.167,0.80494,0.50073,1.24915,0.98404,1,0.99476,0.73622,1.02713,0.53317,1.41775,0.000579697,0.000579697,0.000579697
97,885.12,0.79162,0.48959,1.22969,0.9965,0.99931,0.995,0.73332,0.99632,0.52766,1.38921,0.000578283,0.000578283,0.000578283
98,894.239,0.84099,0.50429,1.2713,0.98782,0.99668,0.99469,0.70659,1.05425,0.56587,1.4294,0.000576869,0.000576869,0.000576869
